,datetime1d,wsmx
613,2016-06-06,17.78
614,2016-06-07,19.16
615,2016-06-08,16.97
616,2016-06-09,12.77
617,2016-06-10,19.44
618,2016-06-11,11.01
619,2016-06-12,21.56
620,2016-06-13,21.41
621,2016-06-14,19.09
622,2016-06-15,16.33
623,2016-06-16,16.05
624,2016-06-17,16.79
625,2016-06-18,16.23
626,2016-06-19,32.78
627,2016-06-20,12.56
628,2016-06-21,12.28
629,2016-06-22,15.59
630,2016-06-23,24.45
631,2016-06-24,29.6
632,2016-06-25,21.24
633,2016-06-26,16.3
634,2016-06-27,15.56
635,2016-06-28,20.53
636,2016-06-29,21.98
637,2016-06-30,21.8
638,2016-07-01,39.73
639,2016-07-02,27.1
640,2016-07-03,15.1
641,2016-07-04,24.66
642,2016-07-05,21.52
643,2016-07-06,17.15
644,2016-07-07,23.74
645,2016-07-08,16.33
646,2016-07-09,18.28
647,2016-07-10,23.11
648,2016-07-11,23.71
649,2016-07-12,19.93
650,2016-07-13,17.53
651,2016-07-14,17.36
652,2016-07-15,21.03
653,2016-07-16,28.68
654,2016-07-17,17.5
655,2016-07-18,15.66
656,2016-07-19,14.5
657,2016-07-20,23.57
658,2016-07-21,23.78
659,2016-07-22,29.53
660,2016-07-23,16.51
661,2016-07-24,20.39
662,2016-07-25,28.05
663,2016-07-26,15.21
664,2016-07-27,23.96
665,2016-07-28,19.3
666,2016-07-29,23.64
667,2016-07-30,17.53
668,2016-07-31,25.86
669,2016-08-01,21.34
670,2016-08-02,17.6
671,2016-08-03,17.39
672,2016-08-04,13.12
673,2016-08-05,15.98
674,2016-08-06,21.7
675,2016-08-07,20.6
676,2016-08-08,12.14
677,2016-08-09,20.92
678,2016-08-10,19.76
679,2016-08-11,17.39
680,2016-08-12,27.27
681,2016-08-13,20.07
682,2016-08-14,20.25
683,2016-08-15,16.65
684,2016-08-16,16.65
685,2016-08-17,17.25
686,2016-08-18,25.75
687,2016-08-19,23.21
688,2016-08-20,20.67
689,2016-08-21,14.89
690,2016-08-22,19.05
691,2016-08-23,23.85
692,2016-08-24,21.73
693,2016-08-25,25.51
694,2016-08-26,21.31
695,2016-08-27,15.21
696,2016-08-28,14.04
697,2016-08-29,20.5
698,2016-08-30,21.77
699,2016-08-31,15.38
700,2016-09-01,18.52
701,2016-09-02,18.56
702,2016-09-03,23.74
703,2016-09-04,19.19
704,2016-09-05,17.08
705,2016-09-06,16.44
706,2016-09-07,20.0
707,2016-09-08,19.4
708,2016-09-09,17.71
709,2016-09-10,18.95
710,2016-09-11,19.93
711,2016-09-12,22.05
712,2016-09-13,11.32
713,2016-09-14,16.65
714,2016-09-15,19.86
715,2016-09-16,8.64
716,2016-09-17,21.27
717,2016-09-18,24.66
718,2016-09-19,21.56
719,2016-09-20,15.38
720,2016-09-21,25.82
721,2016-09-22,14.75
722,2016-09-23,10.97
723,2016-09-24,19.37
724,2016-09-25,18.52
725,2016-09-26,18.95
726,2016-09-27,16.83
727,2016-09-28,24.48
728,2016-09-29,17.0
729,2016-09-30,18.45
730,2016-10-01,22.12
731,2016-10-02,26.0
732,2016-10-03,15.1
733,2016-10-04,26.42
734,2016-10-05,22.01
735,2016-10-06,17.39
736,2016-10-07,17.53
737,2016-10-08,18.31
738,2016-10-09,10.58
739,2016-10-10,25.37
740,2016-10-11,20.29
741,2016-10-12,20.36
742,2016-10-13,18.31
743,2016-10-14,13.16
744,2016-10-15,23.96
745,2016-10-16,20.14
746,2016-10-17,12.42
747,2016-10-18,15.81
748,2016-10-19,20.0
749,2016-10-20,17.57
750,2016-10-21,17.11
751,2016-10-22,17.6
752,2016-10-23,17.57
753,2016-10-24,16.69
754,2016-10-25,23.0
755,2016-10-26,20.82
756,2016-10-27,11.4
757,2016-10-28,16.55
758,2016-10-29,12.81
759,2016-10-30,11.25
760,2016-10-31,27.62
761,2016-11-01,19.55
762,2016-11-02,14.99
763,2016-11-03,19.83
764,2016-11-04,21.59
765,2016-11-05,31.54
766,2016-11-06,29.49
767,2016-11-07,20.0
768,2016-11-08,18.73
769,2016-11-09,18.59
770,2016-11-10,19.79
771,2016-11-11,36.51
772,2016-11-12,18.91
773,2016-11-13,15.98
774,2016-11-14,20.29
775,2016-11-15,17.39
776,2016-11-16,12.77
777,2016-11-17,20.43
778,2016-11-18,15.03
779,2016-11-19,24.17
780,2016-11-20,18.06
781,2016-11-21,26.74
782,2016-11-22,31.33
783,2016-11-23,28.08
784,2016-11-24,14.78
785,2016-11-25,16.55
786,2016-11-26,14.89
787,2016-11-27,14.64
788,2016-11-28,18.66
789,2016-11-29,13.12
790,2016-11-30,16.97
791,2016-12-01,14.75
792,2016-12-02,19.62
793,2016-12-03,18.91
794,2016-12-04,18.42
795,2016-12-05,17.82
796,2016-12-06,20.78
797,2016-12-07,19.12
798,2016-12-08,17.78
799,2016-12-09,21.34
800,2016-12-10,16.9
801,2016-12-11,14.99
802,2016-12-12,22.65
803,2016-12-13,17.15
804,2016-12-14,17.39
805,2016-12-15,21.94
806,2016-12-16,23.96
807,2016-12-17,22.09
808,2016-12-18,19.33
809,2016-12-19,26.6
810,2016-12-20,30.38
811,2016-12-21,35.46
812,2016-12-22,21.73
813,2016-12-23,20.57
814,2016-12-24,20.07
815,2016-12-25,19.72
816,2016-12-26,34.64
817,2016-12-27,22.97
818,2016-12-28,24.27
819,2016-12-29,30.41
820,2016-12-30,34.96
821,2016-12-31,33.8
822,2017-01-01,23.96
823,2017-01-02,24.06
824,2017-01-03,24.1
825,2017-01-04,23.28
826,2017-01-05,24.24
827,2017-01-06,26.18
828,2017-01-07,26.6
829,2017-01-08,23.92
830,2017-01-09,29.53
831,2017-01-10,38.77
832,2017-01-11,30.83
833,2017-01-12,27.31
834,2017-01-13,31.65
835,2017-01-14,34.36
836,2017-01-15,26.67
837,2017-01-16,29.28
838,2017-01-17,27.66
839,2017-01-18,25.61
840,2017-01-19,28.26
841,2017-01-20,23.46
842,2017-01-21,23.32
843,2017-01-22,18.77
844,2017-01-23,19.62
845,2017-01-24,14.29
846,2017-01-25,25.68
847,2017-01-26,28.82
848,2017-01-27,25.44
849,2017-01-28,30.76
850,2017-01-29,31.65
851,2017-01-30,30.66
852,2017-01-31,33.9
853,2017-02-01,34.15
854,2017-02-02,36.23
855,2017-02-03,31.61
856,2017-02-04,26.99
857,2017-02-05,32.53
858,2017-02-06,32.32
859,2017-02-07,34.26
860,2017-02-08,36.48
861,2017-02-09,30.02
862,2017-02-10,36.94
863,2017-02-11,38.21
864,2017-02-12,38.63
865,2017-02-13,29.49
866,2017-02-14,29.71
867,2017-02-15,29.95
868,2017-02-16,21.17
869,2017-02-17,21.91
870,2017-02-18,22.72
871,2017-02-19,25.97
872,2017-02-20,26.07
873,2017-02-21,27.98
874,2017-02-22,27.59
875,2017-02-23,19.83
876,2017-02-24,23.71
877,2017-02-25,18.7
878,2017-02-26,22.65
879,2017-02-27,31.08
880,2017-02-28,34.12
881,2017-03-01,32.32
882,2017-03-02,34.15
883,2017-03-03,33.16
884,2017-03-04,36.37
885,2017-03-05,38.84
886,2017-03-06,28.72
887,2017-03-07,23.99
888,2017-03-08,31.79
889,2017-03-09,31.93
890,2017-03-10,27.91
891,2017-03-11,30.55
892,2017-03-12,30.91
893,2017-03-13,28.75
894,2017-03-14,27.91
895,2017-03-15,30.31
896,2017-03-16,27.84
897,2017-03-17,36.09
898,2017-03-18,30.98
899,2017-03-19,30.83
900,2017-03-20,27.55
901,2017-03-21,23.57
902,2017-03-22,31.47
903,2017-03-23,29.07
904,2017-03-24,28.51
905,2017-03-25,30.69
906,2017-03-26,25.08
907,2017-03-27,25.72
908,2017-03-28,27.62
909,2017-03-29,24.59
910,2017-03-30,24.98
911,2017-03-31,22.16
912,2017-04-01,22.76
913,2017-04-02,19.26
914,2017-04-03,24.59
915,2017-04-04,25.12
916,2017-04-05,27.06
917,2017-04-06,26.14
918,2017-04-07,26.28
919,2017-04-08,35.46
920,2017-04-09,31.68
921,2017-04-10,29.07
922,2017-04-11,35.46
923,2017-04-12,33.09
924,2017-04-13,32.74
925,2017-04-14,34.75
926,2017-04-15,32.6
927,2017-04-16,38.42
928,2017-04-17,30.41
929,2017-04-18,23.14
930,2017-04-19,21.52
931,2017-04-20,18.06
932,2017-04-21,19.05
933,2017-04-22,19.33
934,2017-04-23,23.0
935,2017-04-24,21.8
936,2017-04-25,24.45
937,2017-04-26,23.85
938,2017-04-27,19.44
939,2017-04-28,21.73
940,2017-04-29,25.4
941,2017-04-30,21.73
942,2017-05-01,19.23
943,2017-05-02,17.0
944,2017-05-03,18.28
945,2017-05-04,29.35
946,2017-05-05,18.06
947,2017-05-06,18.49
948,2017-05-07,19.51
949,2017-05-08,23.88
950,2017-05-09,20.29
951,2017-05-10,13.97
952,2017-05-11,14.96
953,2017-05-12,15.59
954,2017-05-13,25.58
955,2017-05-14,17.82
956,2017-05-15,15.35
957,2017-05-16,14.43
958,2017-05-17,20.6
959,2017-05-18,24.31
960,2017-05-19,23.64
961,2017-05-20,21.2
962,2017-05-21,21.27
963,2017-05-22,15.91
964,2017-05-23,32.78
965,2017-05-24,17.68
966,2017-05-25,20.85
967,2017-05-26,18.56
968,2017-05-27,25.08
969,2017-05-28,13.51
970,2017-05-29,19.23
971,2017-05-30,13.79
972,2017-05-31,17.99
973,2017-06-01,30.62
974,2017-06-02,21.87
975,2017-06-03,21.17
976,2017-06-04,25.61
977,2017-06-05,18.2
978,2017-06-06,36.34
979,2017-06-07,18.28
980,2017-06-08,17.22
981,2017-06-09,18.35
982,2017-06-10,22.58
983,2017-06-11,20.85
984,2017-06-12,18.59
985,2017-06-13,16.86
986,2017-06-14,21.38
987,2017-06-15,18.84
988,2017-06-16,17.92
989,2017-06-17,21.52
990,2017-06-18,19.02
991,2017-06-19,23.21
992,2017-06-20,18.49
993,2017-06-21,19.19
994,2017-06-22,18.38
995,2017-06-23,15.17
996,2017-06-24,12.52
997,2017-06-25,16.86
998,2017-06-26,19.69
999,2017-06-27,12.24
1000,2017-06-28,20.74
1001,2017-06-29,17.92
1002,2017-06-30,13.16
1003,2017-07-01,17.82
1004,2017-07-02,21.24
1005,2017-07-03,22.05
1006,2017-07-04,14.08
1007,2017-07-05,25.19
1008,2017-07-06,21.77
1009,2017-07-07,18.1
1010,2017-07-08,17.04
1011,2017-07-09,17.11
1012,2017-07-10,23.11
1013,2017-07-11,15.66
1014,2017-07-12,13.65
1015,2017-07-13,18.73
1016,2017-07-14,22.01
1017,2017-07-15,21.1
1018,2017-07-16,14.85
1019,2017-07-17,19.05
1020,2017-07-18,19.33
1021,2017-07-19,18.42
1022,2017-07-20,11.71
1023,2017-07-21,17.22
1024,2017-07-22,17.36
1025,2017-07-23,16.09
1026,2017-07-24,14.57
1027,2017-07-25,29.32
1028,2017-07-26,14.04
1029,2017-07-27,21.24
1030,2017-07-28,21.03
1031,2017-07-29,17.0
1032,2017-07-30,17.29
1033,2017-07-31,23.07
1034,2017-08-01,15.03
1035,2017-08-02,18.8
1036,2017-08-03,20.0
1037,2017-08-04,21.98
1038,2017-08-05,20.39
1039,2017-08-06,15.42
1040,2017-08-07,13.16
1041,2017-08-08,19.4
1042,2017-08-09,17.57
1043,2017-08-10,18.49
1044,2017-08-11,18.24
1045,2017-08-12,15.88
1046,2017-08-13,16.51
1047,2017-08-14,17.68
1048,2017-08-15,22.44
1049,2017-08-16,19.47
1050,2017-08-17,14.43
1051,2017-08-18,17.36
1052,2017-08-19,21.41
1053,2017-08-20,18.1
1054,2017-08-21,17.85
1055,2017-08-22,19.65
1056,2017-08-23,23.85
1057,2017-08-24,16.76
1058,2017-08-25,16.72
1059,2017-08-26,29.74
1060,2017-08-27,19.26
1061,2017-08-28,25.68
1062,2017-08-29,17.46
1063,2017-08-30,18.73
1064,2017-08-31,15.84
1065,2017-09-01,20.78
